Artifact Kind,Schema Name,JSON Schema,Fused,Fused ClassNames,Fused ClassName CSS Tokens,Discoverable
type,AboutPage,✅,✅,✅,✅,
type,Action,✅,✅,✅,✅,✅
type,AdministrativeArea,✅,✅,✅,✅,
type,AggregateOffer,✅,✅,✅,✅,
type,AggregateRating,✅,✅,✅,✅,
type,AlignmentObject,✅,✅,✅,✅,
type,AnatomicalStructure,✅,✅,✅,✅,
type,AnatomicalSystem,✅,✅,✅,✅,
type,Answer,✅,✅,✅,✅,
type,Article,✅,✅,✅,✅,
type,Audience,✅,✅,✅,✅,
type,AudioObject,✅,✅,✅,✅,
type,BioChemEntity,✅,✅,✅,✅,
type,BlogPosting,✅,✅,✅,✅,
type,Book,✅,✅,✅,✅,
type,Brand,✅,✅,✅,✅,
type,BreadcrumbList,✅,✅,✅,✅,✅
type,BroadcastChannel,✅,✅,✅,✅,
type,BroadcastEvent,✅,✅,✅,✅,
type,BroadcastFrequencySpecification,✅,✅,✅,✅,
type,BroadcastService,✅,✅,✅,✅,
type,CableOrSatelliteService,✅,✅,✅,✅,
type,CategoryCode,✅,✅,✅,✅,
type,CategoryCodeSet,✅,✅,✅,✅,
type,Certification,✅,✅,✅,✅,
type,CheckoutPage,✅,✅,✅,✅,
type,CivicStructure,✅,✅,✅,✅,
type,Claim,✅,✅,✅,✅,
type,ClaimReview,✅,✅,✅,✅,
type,Class,✅,✅,✅,✅,
type,Clip,✅,✅,✅,✅,
type,cmns-cls_Classifier,✅,✅,✅,✅,
type,cmns-col_Collection,✅,✅,✅,✅,
type,cmns-ge_GeopoliticalEntity,✅,✅,✅,✅,
type,CollectionPage,✅,✅,✅,✅,
type,Comment,✅,✅,✅,✅,
type,ConstraintNode,✅,✅,✅,✅,
type,ContactPage,✅,✅,✅,✅,
type,ContactPoint,✅,✅,✅,✅,
type,CorrectionComment,✅,✅,✅,✅,
type,Country,✅,✅,✅,✅,
type,Course,✅,✅,✅,✅,
type,CourseInstance,✅,✅,✅,✅,
type,CreativeWork,✅,✅,✅,✅,✅
type,CreativeWorkSeason,✅,✅,✅,✅,
type,CreativeWorkSeries,✅,✅,✅,✅,
type,Credential,✅,✅,✅,✅,
type,CreditCard,✅,✅,✅,✅,
